Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,room_type_reserved,lead_time,arrival_date,market_segment_type,avg_price_per_room,booking_status
INN00267,1,0,0,2,Meal Plan 1,Room_Type 1,1,12-08-2017,Complementary,0,Not_Canceled
INN00268,1,0,2,1,Meal Plan 1,Room_Type 1,4,23-08-2017,Complementary,0,Not_Canceled
INN00269,2,0,0,3,Meal Plan 1,Room_Type 1,302,29-12-2018,Online,90.3,Canceled
INN00270,2,0,0,2,Meal Plan 1,Room_Type 1,122,15-04-2018,Offline,85,Not_Canceled
INN00271,1,0,0,1,Meal Plan 1,Room_Type 1,16,11-03-2018,Corporate,75,Not_Canceled
INN00272,2,0,2,4,Meal Plan 1,Room_Type 1,28,28-08-2018,Online,115.37,Canceled
INN00273,2,0,1,2,Meal Plan 2,Room_Type 1,161,25-03-2018,Online,130,Canceled
INN00274,3,0,0,2,Meal Plan 1,Room_Type 4,57,09-12-2018,Online,126,Not_Canceled
INN00275,2,0,1,0,Meal Plan 1,Room_Type 1,19,12-06-2018,Online,94.35,Not_Canceled
INN00276,3,0,2,4,Meal Plan 1,Room_Type 4,109,06-07-2018,Online,118.46,Not_Canceled
INN00277,1,0,0,2,Meal Plan 2,Room_Type 1,239,15-06-2018,Online,90.6,Canceled
INN00278,1,0,2,1,Meal Plan 1,Room_Type 1,33,05-03-2018,Online,82.9,Not_Canceled
INN00279,2,0,0,3,Meal Plan 1,Room_Type 1,11,18-08-2017,Online,95.33,Not_Canceled
INN00280,3,0,2,5,Meal Plan 1,Room_Type 4,40,21-04-2018,Online,135.64,Not_Canceled
INN00281,3,0,1,1,Meal Plan 1,Room_Type 4,45,18-06-2018,Offline,122.4,Not_Canceled
INN00282,2,0,1,3,Not Selected,Room_Type 1,41,09-05-2018,Online,116.1,Canceled
INN00283,2,0,0,4,Not Selected,Room_Type 1,167,28-06-2018,Online,62.18,Canceled
INN00284,2,0,0,4,Not Selected,Room_Type 1,62,09-03-2018,Online,63.75,Canceled
INN00285,1,0,1,4,Meal Plan 1,Room_Type 1,113,07-09-2018,Online,118.8,Canceled
INN00286,2,0,0,2,Not Selected,Room_Type 1,1,10-08-2018,Online,167,Not_Canceled
INN00287,2,2,2,2,Meal Plan 1,Room_Type 6,84,13-05-2018,Online,187.85,Not_Canceled
INN00288,0,2,2,2,Meal Plan 1,Room_Type 1,68,24-04-2018,Online,108.38,Canceled
INN00289,2,0,0,1,Meal Plan 1,Room_Type 2,9,07-09-2018,Complementary,0,Not_Canceled
INN00290,3,0,1,2,Meal Plan 1,Room_Type 1,245,28-10-2018,Online,128.7,Canceled
INN00291,2,0,1,3,Meal Plan 1,Room_Type 1,80,17-03-2018,Online,80.33,Not_Canceled
INN00292,2,0,1,1,Meal Plan 1,Room_Type 1,7,22-08-2018,Online,140,Canceled
INN00293,2,1,1,1,Meal Plan 1,Room_Type 1,128,08-08-2017,Online,76.5,Not_Canceled
INN00294,2,0,2,1,Meal Plan 1,Room_Type 1,100,01-05-2018,Online,105.3,Not_Canceled
INN00295,2,0,2,1,Meal Plan 1,Room_Type 1,118,03-04-2018,Online,87.3,Canceled
INN00296,1,0,0,3,Meal Plan 1,Room_Type 1,166,01-11-2018,Online,110,Canceled
INN00297,1,0,0,1,Meal Plan 2,Room_Type 1,41,04-09-2017,Offline,83,Not_Canceled
INN00298,2,0,2,2,Meal Plan 1,Room_Type 1,174,13-08-2018,Online,99.45,Not_Canceled
INN00299,2,1,2,1,Meal Plan 2,Room_Type 1,27,27-12-2017,Offline,104.5,Not_Canceled
INN00300,2,0,2,6,Meal Plan 1,Room_Type 1,2,16-11-2018,Online,92.54,Not_Canceled
INN00301,1,0,0,3,Meal Plan 1,Room_Type 1,37,13-10-2018,Offline,95,Not_Canceled
INN00302,1,0,0,2,Meal Plan 1,Room_Type 1,188,15-06-2018,Online,130,Canceled
INN00303,2,0,2,1,Meal Plan 1,Room_Type 1,68,02-01-2018,Offline,63,Not_Canceled
INN00304,2,0,1,2,Meal Plan 1,Room_Type 4,189,28-10-2018,Online,109.8,Canceled
INN00305,2,0,1,0,Meal Plan 1,Room_Type 1,10,16-05-2018,Online,103,Not_Canceled
INN00306,3,0,2,1,Meal Plan 1,Room_Type 4,19,20-02-2018,Online,130,Not_Canceled
INN00307,2,0,0,2,Meal Plan 1,Room_Type 1,61,23-03-2018,Online,117,Canceled
INN00308,2,0,0,4,Meal Plan 1,Room_Type 4,95,29-12-2017,Offline,60.5,Not_Canceled
INN00309,2,0,0,1,Meal Plan 2,Room_Type 1,83,30-09-2017,Offline,112.2,Not_Canceled
INN00310,2,0,1,3,Meal Plan 1,Room_Type 1,37,01-08-2018,Online,135.9,Canceled
INN00311,2,0,1,0,Meal Plan 1,Room_Type 1,19,25-07-2018,Online,151,Canceled
INN00312,2,2,0,2,Meal Plan 1,Room_Type 6,22,16-09-2018,Online,239,Not_Canceled
INN00313,2,0,2,1,Meal Plan 1,Room_Type 1,22,26-12-2017,Online,59.09,Not_Canceled
INN00314,2,0,2,5,Meal Plan 1,Room_Type 1,151,09-07-2018,Online,103.09,Canceled
INN00315,2,0,2,1,Meal Plan 1,Room_Type 1,26,28-02-2018,Offline,87,Not_Canceled
INN00316,3,0,1,0,Meal Plan 1,Room_Type 4,27,17-04-2018,Online,137,Canceled
INN00317,2,0,0,2,Meal Plan 2,Room_Type 1,79,24-06-2018,Offline,109,Not_Canceled
INN00318,2,0,1,1,Meal Plan 2,Room_Type 1,247,06-06-2018,Online,115,Canceled
INN00319,2,0,2,3,Meal Plan 1,Room_Type 4,189,17-07-2018,Online,99.45,Not_Canceled
INN00320,2,0,0,2,Meal Plan 2,Room_Type 1,320,18-08-2018,Online,115,Canceled
INN00321,3,0,1,2,Meal Plan 1,Room_Type 4,27,22-02-2018,Online,130,Not_Canceled
INN00322,1,0,1,0,Meal Plan 1,Room_Type 1,51,22-05-2018,Corporate,65,Not_Canceled
INN00323,2,0,0,2,Meal Plan 1,Room_Type 1,245,17-06-2018,Online,75,Canceled
INN00324,2,1,1,2,Meal Plan 1,Room_Type 1,52,08-07-2018,Online,132.9,Canceled
INN00325,1,0,2,0,Meal Plan 1,Room_Type 1,13,18-10-2017,Online,120,Not_Canceled
INN00326,2,0,0,2,Not Selected,Room_Type 1,46,11-11-2018,Online,79.2,Canceled
INN00327,3,0,2,1,Meal Plan 1,Room_Type 4,84,28-08-2018,Online,159.3,Canceled
INN00328,1,0,0,2,Meal Plan 1,Room_Type 1,188,15-06-2018,Online,130,Canceled
INN00329,2,0,0,3,Meal Plan 1,Room_Type 1,19,06-10-2017,Offline,90,Not_Canceled
INN00330,2,0,0,2,Meal Plan 1,Room_Type 4,67,27-05-2018,Online,140.4,Not_Canceled
INN00331,2,0,0,1,Meal Plan 1,Room_Type 1,0,11-08-2017,Online,75,Not_Canceled
INN00332,2,0,0,2,Meal Plan 2,Room_Type 1,273,17-07-2017,Online,109,Canceled
INN00333,2,0,2,1,Meal Plan 2,Room_Type 1,110,25-07-2017,Online,94.5,Canceled
INN00334,1,0,0,1,Meal Plan 1,Room_Type 1,0,15-12-2017,Corporate,75,Not_Canceled
INN00335,2,0,1,2,Meal Plan 1,Room_Type 4,32,23-10-2017,Offline,75,Not_Canceled
INN00336,2,0,2,1,Meal Plan 1,Room_Type 1,282,10-10-2017,Offline,76.67,Not_Canceled
INN00337,2,0,2,2,Meal Plan 1,Room_Type 1,38,02-10-2018,Online,126,Not_Canceled
INN00338,2,0,1,1,Not Selected,Room_Type 1,175,23-07-2018,Online,85.5,Not_Canceled
INN00339,2,0,0,3,Meal Plan 1,Room_Type 4,143,18-08-2018,Online,140.7,Canceled
INN00340,2,0,2,2,Meal Plan 1,Room_Type 4,127,26-06-2018,Online,103.7,Not_Canceled
INN00341,1,0,0,1,Meal Plan 1,Room_Type 1,0,08-09-2017,Online,142,Not_Canceled
INN00342,2,1,2,5,Meal Plan 1,Room_Type 1,95,21-12-2018,Online,103.7,Not_Canceled
INN00343,1,0,1,2,Meal Plan 1,Room_Type 1,118,06-06-2018,Offline,110,Not_Canceled
INN00344,2,0,0,3,Meal Plan 1,Room_Type 1,45,10-11-2018,Offline,75,Not_Canceled
INN00345,3,0,1,1,Meal Plan 1,Room_Type 4,69,25-07-2018,Online,137.7,Not_Canceled
INN00346,2,0,0,1,Not Selected,Room_Type 1,57,07-09-2018,Online,87.3,Not_Canceled
INN00347,1,0,0,2,Meal Plan 1,Room_Type 1,5,24-08-2018,Complementary,0,Not_Canceled
INN00348,2,0,0,2,Meal Plan 2,Room_Type 1,39,14-08-2017,Offline,101.5,Not_Canceled
INN00349,2,0,0,1,Meal Plan 1,Room_Type 1,0,24-02-2018,Online,97,Not_Canceled
INN00350,3,0,1,1,Meal Plan 1,Room_Type 4,89,15-08-2018,Online,150.3,Not_Canceled
INN00351,2,0,0,4,Meal Plan 1,Room_Type 1,85,29-03-2018,Online,82.45,Not_Canceled
INN00352,1,0,0,1,Meal Plan 1,Room_Type 4,4,01-07-2018,Corporate,103,Not_Canceled
INN00353,1,0,2,6,Meal Plan 1,Room_Type 1,11,05-07-2018,Online,145,Canceled
INN00354,1,0,1,1,Meal Plan 1,Room_Type 1,12,11-07-2018,Online,145,Not_Canceled
INN00355,2,0,2,2,Meal Plan 1,Room_Type 4,77,14-05-2018,Online,134.85,Not_Canceled
INN00356,2,1,1,1,Meal Plan 1,Room_Type 6,14,22-10-2018,Online,168.25,Not_Canceled
INN00357,1,0,2,1,Meal Plan 1,Room_Type 1,1,28-02-2018,Online,60,Canceled
INN00358,2,0,1,3,Meal Plan 1,Room_Type 1,133,13-06-2018,Offline,76,Not_Canceled
INN00359,2,0,1,2,Meal Plan 1,Room_Type 1,3,10-08-2017,Offline,63.5,Not_Canceled
INN00360,2,0,2,0,Meal Plan 1,Room_Type 1,19,18-09-2018,Offline,95,Not_Canceled
INN00361,2,0,2,2,Meal Plan 1,Room_Type 4,86,03-09-2018,Offline,90.95,Not_Canceled
INN00362,2,0,0,2,Meal Plan 1,Room_Type 1,23,16-10-2017,Online,98.4,Not_Canceled
INN00363,2,0,0,1,Meal Plan 1,Room_Type 1,65,22-09-2018,Online,135.9,Not_Canceled
INN00364,2,0,0,2,Meal Plan 1,Room_Type 4,1,16-11-2018,Online,130,Not_Canceled
INN00365,2,0,0,1,Meal Plan 1,Room_Type 4,66,19-11-2017,Online,81.9,Not_Canceled
INN00366,3,0,1,4,Meal Plan 1,Room_Type 1,50,22-02-2018,Online,78.85,Not_Canceled
INN00367,2,0,2,3,Meal Plan 2,Room_Type 1,87,26-06-2018,Online,141.3,Canceled
INN00368,2,0,1,1,Meal Plan 1,Room_Type 1,159,09-04-2018,Offline,70,Not_Canceled
INN00369,2,0,2,3,Meal Plan 2,Room_Type 1,39,13-08-2018,Online,170.1,Not_Canceled
INN00370,2,0,2,0,Meal Plan 2,Room_Type 1,386,23-10-2018,Online,115,Canceled
INN00371,2,2,0,5,Meal Plan 1,Room_Type 6,22,29-12-2017,Online,199,Not_Canceled
INN00372,2,0,2,2,Meal Plan 1,Room_Type 4,102,10-07-2018,Offline,82.45,Not_Canceled
INN00373,4,0,0,3,Meal Plan 1,Room_Type 7,86,20-10-2018,Online,192.86,Not_Canceled
INN00374,2,0,2,2,Meal Plan 1,Room_Type 1,56,25-09-2017,Offline,185,Not_Canceled
INN00375,2,0,2,6,Meal Plan 1,Room_Type 1,36,10-12-2018,Online,68.07,Not_Canceled
INN00376,2,0,0,3,Meal Plan 1,Room_Type 1,50,04-10-2018,Online,118.8,Not_Canceled
INN00377,2,0,0,2,Meal Plan 1,Room_Type 4,115,27-10-2018,Online,104.4,Canceled
INN00378,1,0,0,1,Meal Plan 1,Room_Type 1,0,23-03-2018,Corporate,65,Not_Canceled
INN00379,2,0,1,3,Not Selected,Room_Type 1,35,03-03-2018,Online,71.1,Canceled
INN00380,2,0,2,1,Meal Plan 1,Room_Type 1,17,21-05-2018,Offline,95,Not_Canceled
INN00381,2,0,4,11,Meal Plan 1,Room_Type 4,237,13-09-2018,Online,116.62,Canceled
INN00382,2,0,0,4,Meal Plan 1,Room_Type 1,125,07-09-2018,Online,136,Not_Canceled
INN00383,2,2,2,2,Meal Plan 1,Room_Type 6,32,02-12-2018,Online,147.9,Canceled
INN00384,2,0,2,0,Not Selected,Room_Type 1,5,18-09-2018,Offline,123.7,Not_Canceled
INN00385,2,0,2,1,Meal Plan 1,Room_Type 1,91,19-06-2018,Online,135.9,Canceled
INN00386,2,0,0,2,Meal Plan 2,Room_Type 1,102,16-10-2017,Offline,109,Not_Canceled
INN00387,3,0,2,1,Meal Plan 1,Room_Type 4,9,20-03-2018,Online,186,Not_Canceled
INN00388,3,0,1,3,Meal Plan 1,Room_Type 4,155,26-12-2018,Online,115.6,Canceled
INN00389,2,2,0,1,Meal Plan 1,Room_Type 6,0,14-05-2018,Online,221,Canceled
INN00390,1,0,0,3,Meal Plan 1,Room_Type 1,11,15-09-2017,Corporate,65,Not_Canceled
INN00391,1,0,0,1,Meal Plan 1,Room_Type 1,0,19-02-2018,Corporate,80,Not_Canceled
INN00392,2,1,1,4,Meal Plan 1,Room_Type 1,86,23-03-2018,Offline,73.83,Not_Canceled
INN00393,1,0,0,1,Meal Plan 1,Room_Type 1,18,18-10-2018,Corporate,67,Not_Canceled
INN00394,2,0,0,2,Meal Plan 1,Room_Type 1,58,04-03-2018,Online,80.3,Not_Canceled
INN00395,2,0,2,1,Not Selected,Room_Type 1,54,30-04-2018,Offline,85,Not_Canceled
INN00396,2,1,2,3,Meal Plan 1,Room_Type 1,25,23-07-2018,Online,152.1,Canceled
INN00397,2,0,0,2,Meal Plan 1,Room_Type 1,107,09-09-2017,Online,89.25,Not_Canceled
INN00398,1,0,0,4,Meal Plan 2,Room_Type 1,100,28-09-2018,Offline,110,Not_Canceled
INN00399,2,0,1,2,Meal Plan 1,Room_Type 1,273,13-05-2018,Online,95,Canceled
INN00400,2,0,0,1,Not Selected,Room_Type 1,29,18-03-2018,Online,79,Not_Canceled
INN00401,2,0,0,1,Meal Plan 1,Room_Type 1,221,12-08-2018,Online,80,Canceled
INN00402,2,0,2,2,Meal Plan 1,Room_Type 1,213,01-10-2018,Online,102.85,Canceled
INN00403,2,0,1,2,Meal Plan 1,Room_Type 1,198,09-09-2018,Online,90,Canceled
INN00404,2,0,1,2,Meal Plan 1,Room_Type 2,81,29-01-2018,Online,62.37,Not_Canceled
INN00405,2,0,0,1,Not Selected,Room_Type 1,23,08-04-2018,Online,98,Not_Canceled
INN00406,2,0,0,3,Meal Plan 1,Room_Type 1,26,17-09-2017,Online,117.67,Canceled
INN00407,2,0,2,1,Meal Plan 1,Room_Type 1,20,18-06-2018,Online,141,Not_Canceled
INN00408,2,1,1,3,Meal Plan 1,Room_Type 6,124,26-12-2018,Online,156.61,Canceled
INN00409,3,0,0,3,Meal Plan 1,Room_Type 4,85,03-08-2018,Online,152.1,Canceled
INN00410,2,0,0,1,Meal Plan 1,Room_Type 1,167,06-08-2018,Online,105.3,Canceled
INN00411,2,0,1,3,Meal Plan 1,Room_Type 1,71,30-05-2018,Online,119.85,Not_Canceled
INN00412,2,0,0,2,Meal Plan 1,Room_Type 1,48,04-11-2018,Online,97.2,Not_Canceled
INN00413,1,0,0,1,Not Selected,Room_Type 1,37,13-05-2018,Online,116.1,Not_Canceled
INN00414,3,0,2,2,Meal Plan 1,Room_Type 4,76,29-05-2018,Online,150.45,Canceled
INN00415,1,0,0,1,Meal Plan 1,Room_Type 1,13,20-01-2018,Offline,71,Not_Canceled
INN00416,1,0,1,0,Meal Plan 1,Room_Type 1,3,27-06-2018,Complementary,0,Not_Canceled
INN00417,2,0,1,2,Meal Plan 1,Room_Type 4,75,07-12-2017,Offline,60,Not_Canceled
INN00418,1,0,0,1,Meal Plan 1,Room_Type 1,5,05-04-2018,Corporate,89,Not_Canceled
INN00419,2,0,2,0,Meal Plan 2,Room_Type 1,386,23-10-2018,Online,115,Canceled
INN00420,2,0,1,1,Meal Plan 1,Room_Type 1,180,02-05-2018,Offline,100,Not_Canceled
INN00421,2,0,1,3,Not Selected,Room_Type 1,122,14-11-2018,Online,75.9,Canceled
INN00422,2,0,1,2,Meal Plan 1,Room_Type 1,224,02-10-2017,Offline,65,Not_Canceled
INN00423,2,0,2,2,Meal Plan 1,Room_Type 1,24,29-05-2018,Online,104.55,Not_Canceled
INN00424,1,0,2,2,Meal Plan 1,Room_Type 1,162,14-10-2018,Online,115,Canceled
INN00425,3,0,1,1,Meal Plan 1,Room_Type 4,25,02-07-2018,Online,187,Canceled
INN00426,1,0,0,1,Meal Plan 1,Room_Type 1,1,04-08-2018,Online,115,Not_Canceled
INN00427,2,0,0,4,Not Selected,Room_Type 1,236,27-09-2018,Online,84.43,Canceled
INN00428,2,0,2,3,Meal Plan 1,Room_Type 1,120,08-04-2018,Online,90.95,Canceled
INN00429,2,0,1,3,Meal Plan 2,Room_Type 4,12,24-03-2018,Online,208,Not_Canceled
INN00430,2,0,2,4,Meal Plan 1,Room_Type 1,224,03-09-2018,Online,97.18,Canceled
INN00431,1,0,0,4,Meal Plan 2,Room_Type 1,33,21-10-2017,Offline,79.11,Not_Canceled
INN00432,2,0,0,2,Meal Plan 1,Room_Type 1,24,13-05-2018,Complementary,0,Not_Canceled
INN00433,2,0,0,1,Meal Plan 1,Room_Type 4,22,08-09-2017,Online,120,Not_Canceled
INN00434,2,0,0,3,Meal Plan 1,Room_Type 1,10,20-10-2017,Online,126,Not_Canceled
INN00435,2,0,0,2,Meal Plan 1,Room_Type 1,15,16-02-2018,Online,91,Canceled
INN00436,2,0,0,5,Meal Plan 2,Room_Type 1,230,06-09-2018,Online,137,Canceled
INN00437,2,0,0,4,Meal Plan 1,Room_Type 1,54,16-03-2018,Offline,67.32,Not_Canceled
INN00438,2,0,0,1,Meal Plan 1,Room_Type 1,45,23-10-2017,Online,81.62,Not_Canceled
INN00439,3,0,1,3,Meal Plan 2,Room_Type 4,63,24-10-2018,Online,123.66,Not_Canceled
INN00440,2,0,2,1,Not Selected,Room_Type 1,166,06-08-2018,Online,94.5,Not_Canceled
INN00441,2,0,1,4,Meal Plan 1,Room_Type 1,148,22-08-2018,Online,96.3,Canceled
INN00442,2,0,2,1,Meal Plan 1,Room_Type 1,136,13-08-2018,Online,88.01,Not_Canceled
INN00443,2,0,1,3,Meal Plan 1,Room_Type 1,37,10-03-2018,Online,81.9,Not_Canceled
INN00444,2,0,0,4,Meal Plan 1,Room_Type 1,66,11-05-2018,Online,119.85,Not_Canceled
INN00445,1,0,0,1,Meal Plan 1,Room_Type 1,11,23-10-2017,Offline,83.5,Not_Canceled
INN00446,1,0,0,1,Meal Plan 1,Room_Type 1,1,01-04-2018,Corporate,67,Not_Canceled
INN00447,2,0,2,2,Meal Plan 1,Room_Type 4,7,19-06-2018,Online,156,Not_Canceled
INN00448,2,0,0,1,Meal Plan 1,Room_Type 1,43,13-10-2017,Offline,85,Not_Canceled
INN00449,2,0,3,5,Meal Plan 1,Room_Type 4,5,04-04-2018,Online,126.75,Canceled
INN00450,2,0,1,1,Meal Plan 2,Room_Type 1,247,06-06-2018,Online,115,Canceled
INN00451,2,0,2,1,Not Selected,Room_Type 1,24,16-10-2018,Online,107.1,Canceled
INN00452,1,0,0,1,Meal Plan 1,Room_Type 1,53,14-10-2018,Offline,120,Not_Canceled
INN00453,2,0,2,1,Meal Plan 1,Room_Type 1,52,19-11-2018,Online,93.6,Not_Canceled
INN00454,2,0,0,1,Meal Plan 1,Room_Type 1,56,08-06-2018,Offline,120,Not_Canceled
INN00455,1,0,0,1,Meal Plan 1,Room_Type 1,12,08-06-2018,Offline,90,Not_Canceled
INN00456,2,0,0,5,Meal Plan 1,Room_Type 1,230,06-09-2018,Online,137,Canceled
INN00457,2,1,1,3,Meal Plan 1,Room_Type 1,92,31-10-2018,Online,106.43,Canceled
INN00458,1,0,0,3,Not Selected,Room_Type 1,2,31-05-2018,Online,87.78,Not_Canceled
INN00459,2,0,0,2,Meal Plan 2,Room_Type 1,74,18-09-2017,Offline,101.5,Not_Canceled
INN00460,2,0,0,1,Not Selected,Room_Type 1,82,23-06-2018,Online,85.5,Canceled
INN00461,1,0,0,3,Meal Plan 1,Room_Type 1,37,13-10-2018,Offline,95,Not_Canceled
INN00462,2,0,2,2,Meal Plan 1,Room_Type 4,147,01-07-2018,Online,103.7,Not_Canceled
INN00463,1,0,0,1,Meal Plan 1,Room_Type 1,2,26-08-2017,Corporate,65,Not_Canceled
INN00464,2,0,2,6,Meal Plan 1,Room_Type 1,166,18-08-2018,Online,100.12,Canceled
INN00465,2,0,1,3,Meal Plan 2,Room_Type 1,28,11-04-2018,Online,156.25,Not_Canceled
INN00466,2,0,1,2,Meal Plan 2,Room_Type 1,309,13-05-2018,Online,101,Canceled
INN00467,2,0,1,3,Meal Plan 2,Room_Type 1,54,04-07-2018,Online,161.1,Not_Canceled
INN00468,2,0,1,3,Not Selected,Room_Type 1,49,08-12-2018,Online,83.8,Not_Canceled
INN00469,2,1,0,1,Meal Plan 1,Room_Type 1,1,18-06-2018,Online,168,Not_Canceled
INN00470,2,0,2,1,Meal Plan 1,Room_Type 1,0,27-12-2017,Offline,58,Not_Canceled
INN00471,2,0,2,1,Meal Plan 2,Room_Type 1,4,08-08-2017,Offline,94.5,Not_Canceled
INN00472,2,0,0,4,Meal Plan 1,Room_Type 1,60,09-12-2017,Online,96.3,Not_Canceled
INN00473,2,0,0,1,Meal Plan 1,Room_Type 1,157,14-08-2017,Online,76.5,Not_Canceled
INN00474,2,0,2,3,Meal Plan 1,Room_Type 1,268,08-04-2018,Offline,78,Not_Canceled
INN00475,2,0,1,1,Not Selected,Room_Type 1,38,26-09-2018,Online,112.59,Canceled
INN00476,2,2,2,1,Meal Plan 1,Room_Type 7,30,12-06-2018,Online,187.04,Canceled
INN00477,2,0,0,1,Meal Plan 1,Room_Type 1,2,11-10-2018,Online,169,Not_Canceled
INN00478,2,0,3,7,Not Selected,Room_Type 1,217,05-12-2018,Online,46.63,Not_Canceled
INN00479,2,0,0,3,Meal Plan 1,Room_Type 1,143,25-08-2018,Offline,100,Not_Canceled
INN00480,2,0,0,3,Not Selected,Room_Type 1,179,19-10-2018,Online,85.5,Not_Canceled
INN00481,1,0,0,2,Meal Plan 1,Room_Type 1,188,15-06-2018,Online,130,Canceled
INN00482,3,0,2,2,Meal Plan 1,Room_Type 4,94,08-07-2018,Online,146.7,Not_Canceled
INN00483,1,0,0,2,Meal Plan 1,Room_Type 1,32,20-11-2017,Offline,73,Not_Canceled
INN00484,3,0,2,2,Meal Plan 1,Room_Type 6,2,01-04-2018,Online,143.22,Not_Canceled
INN00485,2,0,0,3,Meal Plan 1,Room_Type 1,70,22-10-2017,Online,89.25,Not_Canceled
INN00486,2,0,1,0,Not Selected,Room_Type 1,4,19-09-2018,Offline,85,Not_Canceled
INN00487,2,0,2,0,Meal Plan 1,Room_Type 1,34,28-02-2018,Complementary,6.5,Not_Canceled
INN00488,2,2,0,1,Meal Plan 1,Room_Type 2,16,08-03-2018,Online,83.03,Canceled
INN00489,2,0,1,3,Meal Plan 1,Room_Type 1,24,11-02-2018,Online,91,Canceled
INN00490,2,0,2,2,Not Selected,Room_Type 1,78,10-04-2018,Online,80.75,Not_Canceled
INN00491,2,0,1,2,Meal Plan 1,Room_Type 1,305,04-11-2018,Online,89,Canceled
INN00492,2,0,0,3,Meal Plan 1,Room_Type 1,37,13-10-2018,Offline,105,Not_Canceled
INN00493,2,0,2,5,Meal Plan 1,Room_Type 1,98,30-04-2018,Online,109.81,Not_Canceled
INN00494,2,0,1,3,Meal Plan 1,Room_Type 4,14,05-12-2018,Online,70.88,Not_Canceled
INN00495,1,0,0,2,Not Selected,Room_Type 1,44,23-11-2018,Online,83.6,Not_Canceled
INN00496,1,0,2,1,Meal Plan 1,Room_Type 1,1,28-02-2018,Online,60,Canceled
INN00497,2,0,0,3,Meal Plan 1,Room_Type 1,213,07-06-2018,Online,130,Canceled
INN00498,1,0,1,1,Meal Plan 1,Room_Type 1,5,04-04-2018,Online,95,Not_Canceled
INN00499,2,0,0,1,Meal Plan 2,Room_Type 1,55,06-04-2018,Offline,104,Not_Canceled
INN00500,2,0,0,3,Meal Plan 1,Room_Type 4,139,11-02-2018,Offline,62,Not_Canceled
INN00501,2,0,2,1,Meal Plan 1,Room_Type 2,44,23-04-2018,Offline,95,Not_Canceled
INN00502,1,0,2,1,Meal Plan 2,Room_Type 4,18,28-02-2018,Online,145,Not_Canceled
INN00503,1,0,1,0,Meal Plan 1,Room_Type 1,0,17-10-2018,Corporate,95,Not_Canceled
INN00504,1,0,0,2,Meal Plan 1,Room_Type 1,192,24-06-2018,Offline,95,Not_Canceled
INN00505,2,0,2,4,Meal Plan 1,Room_Type 1,152,18-06-2018,Offline,80.75,Not_Canceled
INN00506,3,0,0,4,Meal Plan 1,Room_Type 4,42,30-08-2018,Online,142.2,Not_Canceled
INN00507,3,0,2,3,Meal Plan 1,Room_Type 4,209,21-10-2018,Online,128.7,Canceled
INN00508,2,0,2,3,Meal Plan 1,Room_Type 1,69,20-03-2018,Online,90.95,Not_Canceled
INN00509,2,0,1,2,Meal Plan 1,Room_Type 1,80,18-11-2018,Online,93.6,Not_Canceled
INN00510,2,0,1,2,Meal Plan 1,Room_Type 4,49,09-11-2017,Offline,60,Not_Canceled
INN00511,1,0,0,3,Meal Plan 1,Room_Type 1,143,25-08-2018,Offline,90,Not_Canceled
INN00512,2,0,2,1,Not Selected,Room_Type 1,67,05-12-2017,Online,95.4,Not_Canceled
INN00513,2,0,0,2,Meal Plan 1,Room_Type 1,41,21-10-2018,Online,160,Canceled
INN00514,2,0,2,1,Meal Plan 1,Room_Type 4,154,30-10-2018,Online,104.1,Canceled
INN00515,2,0,0,1,Meal Plan 2,Room_Type 1,55,06-04-2018,Offline,104,Not_Canceled
INN00516,2,0,0,4,Meal Plan 1,Room_Type 1,2,03-08-2018,Offline,109,Not_Canceled
INN00517,2,0,2,4,Meal Plan 1,Room_Type 4,99,10-04-2018,Online,93.78,Canceled
INN00518,1,0,0,2,Meal Plan 1,Room_Type 1,14,14-10-2017,Corporate,95,Not_Canceled
INN00519,1,0,0,1,Not Selected,Room_Type 1,0,15-10-2018,Online,140,Not_Canceled
INN00520,2,0,1,3,Meal Plan 1,Room_Type 1,22,24-12-2017,Online,87,Not_Canceled
INN00521,1,0,2,1,Meal Plan 1,Room_Type 4,7,05-03-2018,Online,85.85,Not_Canceled
INN00522,2,0,1,3,Meal Plan 1,Room_Type 4,84,24-03-2018,Online,99.45,Not_Canceled
INN00523,2,0,0,4,Meal Plan 1,Room_Type 4,109,04-05-2018,Online,120.28,Not_Canceled
INN00524,1,0,0,3,Meal Plan 1,Room_Type 1,71,14-06-2018,Offline,120,Not_Canceled
INN00525,2,0,2,0,Meal Plan 1,Room_Type 1,4,03-04-2018,Online,77.77,Not_Canceled
INN00526,1,0,0,3,Meal Plan 1,Room_Type 1,71,14-06-2018,Offline,120,Not_Canceled
INN00527,2,0,0,1,Not Selected,Room_Type 1,58,10-06-2018,Online,116.1,Not_Canceled
INN00528,3,0,0,1,Meal Plan 2,Room_Type 4,133,23-07-2018,Online,189,Canceled
INN00529,2,0,2,1,Meal Plan 1,Room_Type 4,27,26-06-2018,Online,152.67,Canceled
INN00530,2,0,2,3,Meal Plan 1,Room_Type 1,27,04-02-2018,Online,66.31,Not_Canceled
INN00531,1,0,0,1,Meal Plan 1,Room_Type 1,9,10-09-2017,Online,95,Not_Canceled
INN00532,2,1,0,3,Meal Plan 1,Room_Type 1,86,08-12-2018,Online,122,Canceled
